Data,Modalidade,Review,Avaliação,Idioma
2023-02-01,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-02,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-02,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-02-02,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-02-03,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-02-03,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-03,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-02-04,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-02-04,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-04,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-05,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-02-05,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-02-05,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-06,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-06,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-06,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-07,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-02-07,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-02-07,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-02-08,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-08,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-02-08,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-09,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-02-09,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-09,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-10,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-10,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-02-10,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-11,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-02-11,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-11,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-12,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-12,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-12,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-02-13,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-02-13,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-13,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-02-14,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-02-14,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-14,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-15,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-02-15,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-15,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-16,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-02-16,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-16,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-02-17,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-17,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-02-17,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-02-18,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-18,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-02-18,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-19,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-02-19,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-02-19,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-02-20,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-02-20,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-02-20,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-21,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-21,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-21,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-02-22,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-02-22,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-22,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-02-23,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-02-23,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-02-23,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-24,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-24,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-24,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-25,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-02-25,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-02-25,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-26,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-26,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-02-26,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-02-27,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-27,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-27,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-02-28,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-28,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-02-28,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-01,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-03-01,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-03-01,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-03-02,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-03-02,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-02,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-03,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-03,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-03,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-04,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-04,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-03-04,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-05,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-03-05,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-05,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-06,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-06,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-06,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-07,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-03-07,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-03-07,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-08,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-03-08,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-03-08,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-03-09,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-03-09,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-09,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-10,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-03-10,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-03-10,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-11,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-11,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-11,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-03-12,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-03-12,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-03-12,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-13,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-13,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-13,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-14,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-14,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-14,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-15,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-03-15,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-15,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-03-16,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-03-16,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-03-16,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-03-17,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-03-17,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-03-17,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-18,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-18,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-03-18,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-19,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-03-19,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-19,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-20,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-03-20,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-20,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-03-21,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-03-21,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-03-21,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-03-22,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-22,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-03-22,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-23,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-23,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-23,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-24,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-03-24,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-24,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-25,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-03-25,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-25,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-26,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-26,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-26,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-27,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-27,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-03-27,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-28,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-28,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-28,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-03-29,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-29,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-29,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-03-30,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-03-30,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-03-30,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-03-31,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-31,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-03-31,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-01,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-01,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-01,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-02,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-02,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-02,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-03,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-03,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-04-03,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-04-04,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-04,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-04,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-05,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-05,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-05,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-04-06,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-04-06,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-04-06,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-07,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-04-07,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-04-07,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-08,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-04-08,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-08,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-09,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-09,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-09,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-04-10,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-10,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-10,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-04-11,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-11,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-11,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-12,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-12,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-12,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-13,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-13,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-04-13,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-14,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-14,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-04-14,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-15,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-15,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-15,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-16,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-16,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-16,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-17,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-17,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-17,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-04-18,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-04-18,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-04-18,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-19,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-04-19,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-04-19,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-04-20,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-04-20,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-20,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-04-21,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-04-21,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-21,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-04-22,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-04-22,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-22,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-23,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-23,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-23,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-04-24,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-04-24,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-04-24,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-04-25,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-04-25,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-04-25,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-04-26,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-04-26,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-04-26,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-04-27,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-04-27,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-27,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-04-28,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-04-28,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-28,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-29,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-04-29,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-04-29,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-30,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-04-30,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-04-30,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-05-01,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-05-01,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-05-01,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-05-02,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-05-02,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-05-02,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-05-03,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-05-03,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-05-03,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-05-04,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-05-04,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-05-04,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-05-05,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-05-05,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-05-05,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-05-06,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-05-06,Cycling,"Razoável, esperava um pouco mais.",3,Português
